From Position,To Position,Expected (um),Actual (um),Difference (um),Feed
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848989,1.97037467,0.970525682,25
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848989,1.750700094,0.750851106,25
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,0.719806756,-0.280193244,25
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848989,1.232020813,0.232171825,25
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1,1.723643881,0.723643881,25
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1,1.482475175,0.482475175,25
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848989,1.972219458,0.972370469,25
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.586,2.068774111,1.482774111,25
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,2.461210715,1.461210715,25
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1,2.507883733,1.507883733,25
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1,1.700697303,0.700697303,25
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,4.185223508,3.185223508,25
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1,2.588034163,1.588034163,25
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1,2.560711488,1.560711488,25
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1,2.915762273,1.915762273,25
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1,2.487099683,1.487099683,25
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848989,2.034110626,1.034261638,25
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848989,1.390714204,0.390865215,25
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.142429254,1.142580266,25
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.084543625,1.084694636,25
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848989,2.238458342,1.238609354,25
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848989,1.945099095,0.945250107,25
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848989,1.845139585,0.845290596,25
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.306720059,1.306871071,25
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,1.419618727,0.419618727,25
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848989,1.683354727,0.683505739,25
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848989,2.043813281,1.043964293,25
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848989,3.743034725,2.743185736,25
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848989,2.499134742,1.499285753,25
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,1.027845338,0.027845338,25
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848989,2.04980283,1.049953842,25
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1,1.438514844,0.438514844,25
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1,4.134385251,3.134385251,25
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848989,3.767481626,2.767632637,25
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.586,1.747326993,1.161326993,25
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,3.560171731,-6.439828269,25
"(0.010000000,0.000000000)","(0.020000000,0.000000000)",10,4.775942796,-5.224057204,25
"(0.020000000,0.000000000)","(0.010000000,0.000000000)",10,2.064004428,-7.935995572,25
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,6.954492622,-3.045507378,25
"(0.000000000,0.000000000)","(0.000000000,0.010000000)",10,11.44337435,1.443374346,25
"(0.000000000,0.010000000)","(0.000000000,0.020000000)",10,11.152018,1.152018001,25
"(0.000000000,0.020000000)","(0.000000000,0.010000000)",10,11.37162354,1.371623544,25
"(0.000000000,0.010000000)","(0.000000000,0.000000000)",10,11.70216758,1.702167581,25
"(0.000000000,0.000000000)","(0.007071000,0.007071000)",9.9999041,8.523164041,-1.476740059,25
"(0.007071000,0.007071000)","(0.014142000,0.014142000)",9.9999041,8.759946583,-1.239957517,25
"(0.014142000,0.014142000)","(0.007071000,0.007071000)",9.9999041,8.984606693,-1.015297406,25
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.572030363,-1.427873737,25
"(0.000000000,0.000000000)","(-0.007071000,0.007071000)",9.9999041,9.945959487,-0.053944612,25
"(-0.007071000,0.007071000)","(0.000000000,0.014142000)",9.9999041,7.186922232,-2.812981867,25
"(0.000000000,0.014142000)","(0.007071000,0.007071000)",9.9999041,9.143010189,-0.856893911,25
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.552542236,-1.447361863,25
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,3.70635786,-6.29364214,25
"(0.010000000,0.000000000)","(0.002929000,0.007071000)",9.9999041,9.520697383,-0.479206716,25
"(0.002929000,0.007071000)","(0.010000000,0.014142000)",9.9999041,8.565187458,-1.434716641,25
"(0.010000000,0.014142000)","(0.017071000,0.007071000)",9.9999041,10.60056111,0.600657011,25
"(0.017071000,0.007071000)","(0.010000000,0.000000000)",9.9999041,7.974212884,-2.025691215,25
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,10.15301502,0.153015023,25
"(0.000000000,0.000000000)","(-0.007071000,-0.007071000)",9.9999041,8.922343524,-1.077560575,25
"(-0.007071000,-0.007071000)","(0.002929000,-0.007071000)",10,4.611613457,-5.388386543,25
"(0.002929000,-0.007071000)","(0.012929000,-0.007071000)",10,6.786292983,-3.213707017,25
"(0.012929000,-0.007071000)","(0.005858000,0.000000000)",9.9999041,9.428485621,-0.571418479,25
"(0.005858000,0.000000000)","(0.000000000,0.000000000)",5.858,3.647597221,-2.210402779,25
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,5.649884893,-4.350115107,25
"(0.010000000,0.000000000)","(0.020000000,0.000000000)",10,4.794601086,-5.205398914,25
"(0.020000000,0.000000000)","(0.010000000,0.000000000)",10,3.920541293,-6.079458707,25
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,6.673722177,-3.326277823,25
"(0.000000000,0.000000000)","(0.000000000,0.010000000)",10,11.15909906,1.15909906,25
"(0.000000000,0.010000000)","(0.000000000,0.020000000)",10,11.48423651,1.484236514,25
"(0.000000000,0.020000000)","(0.000000000,0.010000000)",10,10.48854144,0.488541443,25
"(0.000000000,0.010000000)","(0.000000000,0.000000000)",10,12.26311588,2.263115878,25
"(0.000000000,0.000000000)","(0.007071000,0.007071000)",9.9999041,8.64271306,-1.35719104,25
"(0.007071000,0.007071000)","(0.014142000,0.014142000)",9.9999041,8.928420898,-1.071483202,25
"(0.014142000,0.014142000)","(0.007071000,0.007071000)",9.9999041,9.213888869,-0.786015231,25
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,7.871785327,-2.128118773,25
"(0.000000000,0.000000000)","(-0.007071000,0.007071000)",9.9999041,8.852074484,-1.147829616,25
"(-0.007071000,0.007071000)","(0.000000000,0.014142000)",9.9999041,8.669159648,-1.330744451,25
"(0.000000000,0.014142000)","(0.007071000,0.007071000)",9.9999041,8.110024964,-1.889879135,25
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.474170194,-1.525733905,25
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,3.76648735,-6.23351265,25
"(0.010000000,0.000000000)","(0.002929000,0.007071000)",9.9999041,9.162089398,-0.837814701,25
"(0.002929000,0.007071000)","(0.010000000,0.014142000)",9.9999041,8.70439909,-1.295505009,25
"(0.010000000,0.014142000)","(0.017071000,0.007071000)",9.9999041,8.314037277,-1.685866822,25
"(0.017071000,0.007071000)","(0.010000000,0.000000000)",9.9999041,8.522612592,-1.477291507,25
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,4.313100199,-5.686899801,25
"(0.000000000,0.000000000)","(-0.007071000,-0.007071000)",9.9999041,9.188452957,-0.811451143,25
"(-0.007071000,-0.007071000)","(0.002929000,-0.007071000)",10,6.039352935,-3.960647065,25
"(0.002929000,-0.007071000)","(0.012929000,-0.007071000)",10,2.970526689,-7.029473311,25
"(0.012929000,-0.007071000)","(0.005858000,0.000000000)",9.9999041,8.505048078,-1.494856022,25
"(0.005858000,0.000000000)","(0.000000000,0.000000000)",5.858,5.073641013,-0.784358987,25
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,29.21822058,-20.78177942,25
"(0.050000000,0.000000000)","(0.100000000,0.000000000)",50,31.7920316,-18.2079684,25
"(0.100000000,0.000000000)","(0.050000000,0.000000000)",50,31.44244385,-18.55755615,25
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,27.93070819,-22.06929181,25
"(0.000000000,0.000000000)","(0.000000000,0.050000000)",50,52.99919557,2.999195573,25
"(0.000000000,0.050000000)","(0.000000000,0.100000000)",50,42.36867054,-7.631329456,25
"(0.000000000,0.100000000)","(0.000000000,0.050000000)",50,42.43113264,-7.56886736,25
"(0.000000000,0.050000000)","(0.000000000,0.000000000)",50,54.34524475,4.34524475,25
"(0.000000000,0.000000000)","(0.035355000,0.035355000)",49.9995205,42.53925221,-7.460268285,25
"(0.035355000,0.035355000)","(0.070711000,0.070711000)",50.00093471,36.01283121,-13.9881035,25
"(0.070711000,0.070711000)","(0.035355000,0.035355000)",50.00093471,37.15265538,-12.84827933,25
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,41.25617727,-8.743343224,25
"(0.000000000,0.000000000)","(-0.035355000,0.035355000)",49.9995205,47.33758126,-2.661939234,25
"(-0.035355000,0.035355000)","(0.000000000,0.070711000)",50.00022761,36.64326239,-13.35696522,25
"(0.000000000,0.070711000)","(0.035355000,0.035355000)",50.00022761,40.65475017,-9.34547744,25
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,41.25000893,-8.749511571,25
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,28.47179373,-21.52820627,25
"(0.050000000,0.000000000)","(0.014645000,0.035355000)",49.9995205,46.13792024,-3.861600261,25
"(0.014645000,0.035355000)","(0.050000000,0.070711000)",50.00022761,36.85343843,-13.14678918,25
"(0.050000000,0.070711000)","(0.085355000,0.035355000)",50.00022761,42.57473404,-7.425493574,25
"(0.085355000,0.035355000)","(0.050000000,0.000000000)",49.9995205,41.83663215,-8.162888345,25
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,29.77434642,-20.22565358,25
"(0.000000000,0.000000000)","(-0.035355000,-0.035355000)",49.9995205,40.97760871,-9.021911784,25
"(-0.035355000,-0.035355000)","(0.014645000,-0.035355000)",50,29.36828298,-20.63171702,25
"(0.014645000,-0.035355000)","(0.064645000,-0.035355000)",50,29.363892,-20.636108,25
"(0.064645000,-0.035355000)","(0.029289000,0.000000000)",50.00022761,47.40112646,-2.599101153,25
"(0.029289000,0.000000000)","(0.000000000,0.000000000)",29.289,15.81156376,-13.47743624,25
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,30.23237946,-19.76762054,25
"(0.050000000,0.000000000)","(0.100000000,0.000000000)",50,30.10555167,-19.89444833,25
"(0.100000000,0.000000000)","(0.050000000,0.000000000)",50,31.46051589,-18.53948411,25
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,26.22517838,-23.77482162,25
"(0.000000000,0.000000000)","(0.000000000,0.050000000)",50,53.45079801,3.45079801,25
"(0.000000000,0.050000000)","(0.000000000,0.100000000)",50,42.44220474,-7.55779526,25
"(0.000000000,0.100000000)","(0.000000000,0.050000000)",50,41.70147842,-8.298521577,25
"(0.000000000,0.050000000)","(0.000000000,0.000000000)",50,54.71567704,4.715677035,25
"(0.000000000,0.000000000)","(0.035355000,0.035355000)",49.9995205,41.04406103,-8.955459466,25
"(0.035355000,0.035355000)","(0.070711000,0.070711000)",50.00093471,37.52979676,-12.47113796,25
"(0.070711000,0.070711000)","(0.035355000,0.035355000)",50.00093471,38.22248832,-11.77844639,25
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,41.08539348,-8.914127021,25
"(0.000000000,0.000000000)","(-0.035355000,0.035355000)",49.9995205,48.59462312,-1.404897376,25
"(-0.035355000,0.035355000)","(0.000000000,0.070711000)",50.00022761,36.14025264,-13.85997497,25
"(0.000000000,0.070711000)","(0.035355000,0.035355000)",50.00022761,42.52581656,-7.474411047,25
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,40.15065387,-9.848866625,25
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,26.68109261,-23.31890739,25
"(0.050000000,0.000000000)","(0.014645000,0.035355000)",49.9995205,46.90393704,-3.095583458,25
"(0.014645000,0.035355000)","(0.050000000,0.070711000)",50.00022761,35.84800348,-14.15222413,25
"(0.050000000,0.070711000)","(0.085355000,0.035355000)",50.00022761,43.78503961,-6.215188,25
"(0.085355000,0.035355000)","(0.050000000,0.000000000)",49.9995205,42.53613913,-7.463381369,25
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,26.64261884,-23.35738116,25
"(0.000000000,0.000000000)","(-0.035355000,-0.035355000)",49.9995205,42.19235567,-7.80716483,25
"(-0.035355000,-0.035355000)","(0.014645000,-0.035355000)",50,31.19268918,-18.80731082,25
"(0.014645000,-0.035355000)","(0.064645000,-0.035355000)",50,29.54121995,-20.45878005,25
"(0.064645000,-0.035355000)","(0.029289000,0.000000000)",50.00022761,47.60823801,-2.391989595,25
"(0.029289000,0.000000000)","(0.000000000,0.000000000)",29.289,14.41947955,-14.86952045,25
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,60.89855465,-39.10144535,25
"(0.100000000,0.000000000)","(0.200000000,0.000000000)",100,80.42093014,-19.57906986,25
"(0.200000000,0.000000000)","(0.100000000,0.000000000)",100,80.57632746,-19.42367254,25
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,60.42433296,-39.57566704,25
"(0.000000000,0.000000000)","(0.000000000,0.100000000)",100,93.63106979,-6.368930213,25
"(0.000000000,0.100000000)","(0.000000000,0.200000000)",100,116.5308951,16.53089512,25
"(0.000000000,0.200000000)","(0.000000000,0.100000000)",100,116.3446296,16.34462955,25
"(0.000000000,0.100000000)","(0.000000000,0.000000000)",100,95.10989733,-4.890102671,25
"(0.000000000,0.000000000)","(0.070711000,0.070711000)",100.0004552,77.93009819,-22.07035702,25
"(0.070711000,0.070711000)","(0.141421000,0.141421000)",99.999041,71.79794378,-28.20109722,25
"(0.141421000,0.141421000)","(0.070711000,0.070711000)",99.999041,73.11565258,-26.88338842,25
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,76.0815744,-23.91888081,25
"(0.000000000,0.000000000)","(-0.070711000,0.070711000)",100.0004552,85.75804205,-14.24241316,25
"(-0.070711000,0.070711000)","(0.000000000,0.141421000)",99.9997481,72.44093373,-27.55881437,25
"(0.000000000,0.141421000)","(0.070711000,0.070711000)",99.9997481,79.47826784,-20.52148026,25
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,78.62097363,-21.37948158,25
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,59.11654439,-40.88345561,25
"(0.100000000,0.000000000)","(0.029289000,0.070711000)",100.0004552,87.55802332,-12.44243189,25
"(0.029289000,0.070711000)","(0.100000000,0.141421000)",99.9997481,70.155,-29.8447481,25
"(0.100000000,0.141421000)","(0.170711000,0.070711000)",99.9997481,86.79970522,-13.20004289,25
"(0.170711000,0.070711000)","(0.100000000,0.000000000)",100.0004552,87.14391411,-12.8565411,25
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,62.1033224,-37.8966776,25
"(0.000000000,0.000000000)","(-0.070711000,-0.070711000)",100.0004552,76.06892004,-23.93153517,25
"(-0.070711000,-0.070711000)","(0.029289000,-0.070711000)",100,58.32850661,-41.67149339,25
"(0.029289000,-0.070711000)","(0.129289000,-0.070711000)",100,61.85058601,-38.14941399,25
"(0.129289000,-0.070711000)","(0.058579000,0.000000000)",99.9997481,87.14581732,-12.85393079,25
"(0.058579000,0.000000000)","(0.000000000,0.000000000)",58.579,31.04121885,-27.53778115,25
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,57.27710012,-42.72289988,25
"(0.100000000,0.000000000)","(0.200000000,0.000000000)",100,82.8802848,-17.1197152,25
"(0.200000000,0.000000000)","(0.100000000,0.000000000)",100,82.39183059,-17.60816941,25
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,58.45859305,-41.54140695,25
"(0.000000000,0.000000000)","(0.000000000,0.100000000)",100,94.79720083,-5.202799174,25
"(0.000000000,0.100000000)","(0.000000000,0.200000000)",100,116.3933759,16.39337591,25
"(0.000000000,0.200000000)","(0.000000000,0.100000000)",100,117.301188,17.30118805,25
"(0.000000000,0.100000000)","(0.000000000,0.000000000)",100,95.31226549,-4.687734509,25
"(0.000000000,0.000000000)","(0.070711000,0.070711000)",100.0004552,77.24123466,-22.75922054,25
"(0.070711000,0.070711000)","(0.141421000,0.141421000)",99.999041,75.9321249,-24.0669161,25
"(0.141421000,0.141421000)","(0.070711000,0.070711000)",99.999041,74.87037252,-25.12866848,25
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,77.83518277,-22.16527244,25
"(0.000000000,0.000000000)","(-0.070711000,0.070711000)",100.0004552,87.40849517,-12.59196004,25
"(-0.070711000,0.070711000)","(0.000000000,0.141421000)",99.9997481,74.19785527,-25.80189284,25
"(0.000000000,0.141421000)","(0.070711000,0.070711000)",99.9997481,79.97664196,-20.02310615,25
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,76.03371094,-23.96674427,25
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,58.21083241,-41.78916759,25
"(0.100000000,0.000000000)","(0.029289000,0.070711000)",100.0004552,90.53682586,-9.463629352,25
"(0.029289000,0.070711000)","(0.100000000,0.141421000)",99.9997481,70.45119963,-29.54854848,25
"(0.100000000,0.141421000)","(0.170711000,0.070711000)",99.9997481,87.74211983,-12.25762828,25
"(0.170711000,0.070711000)","(0.100000000,0.000000000)",100.0004552,87.04644002,-12.95401519,25
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,59.859017,-40.140983,25
"(0.000000000,0.000000000)","(-0.070711000,-0.070711000)",100.0004552,75.96367462,-24.03678059,25
"(-0.070711000,-0.070711000)","(0.029289000,-0.070711000)",100,58.51933109,-41.48066891,25
"(0.029289000,-0.070711000)","(0.129289000,-0.070711000)",100,59.42247376,-40.57752624,25
"(0.129289000,-0.070711000)","(0.058579000,0.000000000)",99.9997481,86.68930488,-13.31044323,25
"(0.058579000,0.000000000)","(0.000000000,0.000000000)",58.579,35.53494886,-23.04405114,25
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,189.1402881,-60.85971194,25
"(0.250000000,0.000000000)","(0.500000000,0.000000000)",250,190.2434019,-59.75659812,25
"(0.500000000,0.000000000)","(0.250000000,0.000000000)",250,188.106941,-61.89305902,25
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,189.0314359,-60.96856407,25
"(0.000000000,0.000000000)","(0.000000000,0.250000000)",250,271.8943676,21.89436758,25
"(0.000000000,0.250000000)","(0.000000000,0.500000000)",250,232.2048445,-17.79515549,25
"(0.000000000,0.500000000)","(0.000000000,0.250000000)",250,233.0963237,-16.90367633,25
"(0.000000000,0.250000000)","(0.000000000,0.000000000)",250,272.7652664,22.76526644,25
"(0.000000000,0.000000000)","(0.176777000,0.176777000)",250.0004309,202.7415871,-47.25884383,25
"(0.176777000,0.176777000)","(0.353553000,0.353553000)",249.9990167,296.5710189,46.57200215,25
"(0.353553000,0.353553000)","(0.176777000,0.176777000)",249.9990167,241.1108111,-8.888205572,25
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,203.982949,-46.01748187,25
"(0.000000000,0.000000000)","(-0.176777000,0.176777000)",250.0004309,227.4812989,-22.51913202,25
"(-0.176777000,0.176777000)","(0.000000000,0.353553000)",249.9997238,218.7387016,-31.26102219,25
"(0.000000000,0.353553000)","(0.176777000,0.176777000)",249.9997238,253.473566,3.473842184,25
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,203.9863964,-46.01403457,25
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,184.8425553,-65.15744469,25
"(0.250000000,0.000000000)","(0.073223000,0.176777000)",250.0004309,240.8082981,-9.192132773,25
"(0.073223000,0.176777000)","(0.250000000,0.353553000)",249.9997238,234.4572719,-15.54245186,25
"(0.250000000,0.353553000)","(0.426777000,0.176777000)",249.9997238,265.9001188,15.90039497,25
"(0.426777000,0.176777000)","(0.250000000,0.000000000)",250.0004309,201.7913771,-48.20905382,25
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,192.9900241,-57.00997588,25
"(0.000000000,0.000000000)","(-0.176777000,-0.176777000)",250.0004309,206.3244004,-43.67603047,25
"(-0.176777000,-0.176777000)","(0.073223000,-0.176777000)",250,167.3112313,-82.68876867,25
"(0.073223000,-0.176777000)","(0.323223000,-0.176777000)",250,213.856866,-36.14313404,25
"(0.323223000,-0.176777000)","(0.146447000,0.000000000)",249.9997238,254.1803322,4.180608418,25
"(0.146447000,0.000000000)","(0.000000000,0.000000000)",146.447,98.10203026,-48.34496974,25
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,189.6122746,-60.38772542,25
"(0.250000000,0.000000000)","(0.500000000,0.000000000)",250,193.6832327,-56.31676734,25
"(0.500000000,0.000000000)","(0.250000000,0.000000000)",250,191.9069689,-58.09303106,25
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,185.6968779,-64.30312215,25
"(0.000000000,0.000000000)","(0.000000000,0.250000000)",250,272.3679708,22.3679708,25
"(0.000000000,0.250000000)","(0.000000000,0.500000000)",250,233.6015014,-16.39849858,25
"(0.000000000,0.500000000)","(0.000000000,0.250000000)",250,293.482296,43.48229605,25
"(0.000000000,0.250000000)","(0.000000000,0.000000000)",250,271.7115328,21.71153278,25
"(0.000000000,0.000000000)","(0.176777000,0.176777000)",250.0004309,202.677551,-47.32287995,25
"(0.176777000,0.176777000)","(0.353553000,0.353553000)",249.9990167,240.1154933,-9.883523364,25
"(0.353553000,0.353553000)","(0.176777000,0.176777000)",249.9990167,293.5862982,43.58728154,25
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,204.1582218,-45.84220911,25
"(0.000000000,0.000000000)","(-0.176777000,0.176777000)",250.0004309,227.7041582,-22.29627268,25
"(-0.176777000,0.176777000)","(0.000000000,0.353553000)",249.9997238,217.4651882,-32.53453557,25
"(0.000000000,0.353553000)","(0.176777000,0.176777000)",249.9997238,254.2241495,4.224425662,25
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,203.8234902,-46.17694075,25
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,182.3098747,-67.69012531,25
"(0.250000000,0.000000000)","(0.073223000,0.176777000)",250.0004309,242.1346175,-7.865813377,25
"(0.073223000,0.176777000)","(0.250000000,0.353553000)",249.9997238,235.6634323,-14.33629148,25
"(0.250000000,0.353553000)","(0.426777000,0.176777000)",249.9997238,266.383357,16.38363321,25
"(0.426777000,0.176777000)","(0.250000000,0.000000000)",250.0004309,209.3686542,-40.6317767,25
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,182.0177703,-67.98222973,25
"(0.000000000,0.000000000)","(-0.176777000,-0.176777000)",250.0004309,209.569177,-40.43125394,25
"(-0.176777000,-0.176777000)","(0.073223000,-0.176777000)",250,166.6794766,-83.32052339,25
"(0.073223000,-0.176777000)","(0.323223000,-0.176777000)",250,214.4130352,-35.58696477,25
"(0.323223000,-0.176777000)","(0.146447000,0.000000000)",249.9997238,253.3093764,3.309652609,25
"(0.146447000,0.000000000)","(0.000000000,0.000000000)",146.447,96.71643893,-49.73056107,25
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,1.230471449,0.230471449,10
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1,1.626816117,0.626816117,10
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1,1.989783852,0.989783852,10
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,1.6640453,0.6640453,10
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1,1.936620394,0.936620394,10
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1,1.51129082,0.51129082,10
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1,1.737621932,0.737621932,10
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1,1.925103908,0.925103908,10
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848989,1.876866139,0.87701715,10
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848989,1.120234101,0.120385113,10
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.072825097,1.072976108,10
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,1.496613932,0.496764944,10
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848989,2.290748881,1.290899892,10
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848989,2.647454762,1.647605773,10
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848989,1.806361263,0.806512275,10
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.076532699,1.076683711,10
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,1.518401564,0.518401564,10
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848989,1.260362498,0.26051351,10
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848989,2.314710014,1.314861026,10
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848989,2.275713702,1.275864713,10
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848989,1.360342697,0.360493709,10
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,1.714675235,0.714675235,10
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848989,2.194870225,1.195021237,10
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1,2.202479014,1.202479014,10
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1,2.465698902,1.465698902,10
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848989,2.401694309,1.401845321,10
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.586,1.740388627,1.154388627,10
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,1.536680644,0.536680644,10
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1,1.813129841,0.813129841,10
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1,2.137701464,1.137701464,10
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,3.072505476,2.072505476,10
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1,2.940697751,1.940697751,10
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1,2.218827227,1.218827227,10
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1,1.050374381,0.050374381,10
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1,2.583383061,1.583383061,10
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848989,2.441559138,1.44171015,10
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848989,2.006449406,1.006600417,10
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.740213778,1.74036479,10
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,1.25081762,0.250968632,10
